排名,名称,城市,所在地区,所在洲,高度(米),高度(英尺),楼层,落成年份
26,阿勒玛斯大楼,杜拜, 阿联酋,亚洲,360米,1181英尺,68,2008
27,广晟国际大厦,广州, 中国大陆,亚洲,360米,1181英尺,60,2012
28,赛格广场,深圳, 中国大陆,亚洲,356米,1168英尺,70,2000
29,阿联酋公园大厦一座,杜拜, 阿联酋,亚洲,355米,1166英尺,82,2012
29,阿联酋公园大厦二座,杜拜, 阿联酋,亚洲,355米,1166英尺,82,2012
31,阿联酋办公大厦,杜拜, 阿联酋,亚洲,355米,1163英尺,54,2000
32,高雄85大楼,高雄, 中华民国,亚洲,348米,1140英尺,85,1997
33,怡安中心,芝加哥, 美国,北美洲,346米,1136英尺,83,1973
34,中环中心,香港, 香港,亚洲,346米,1135英尺,73,1998
35,敬南河内陆标塔,河内, 越南,亚洲,345米,1132英尺,70,2011
36,约翰汉考克中心,芝加哥, 美国,北美洲,344米,1127英尺,100,1970
37,水银城市大厦,莫斯科, 俄罗斯,欧洲,338.82米,1112英尺,75,2012
38,天津环球金融中心,天津, 中国大陆,亚洲,336.9米,1105英尺,79,2010
39,迪拜火炬,杜拜, 阿联酋,亚洲,336.8米,1105英尺,79,2011
40,上海世茂国际广场,上海, 中国大陆,亚洲,333.3米,1094英尺,60,2006
41,玫瑰大厦,杜拜, 阿联酋,亚洲,333米,1093英尺,72,2007
42,民生银行大厦,武汉, 中国大陆,亚洲,331米,1087英尺,68,2007
43,柳京饭店,平壤, 朝鲜,亚洲,330.02米,1082.74英尺,105,2012
44,北京国际贸易中心3期,北京, 中国大陆,亚洲,330米,1082.68英尺,74,2008
45,指数大厦,杜拜, 阿联酋,亚洲,328米,1076英尺,80,2010
46,Al Yaqoub Tower,杜拜, 阿联酋,亚洲,328米,1076英尺,69,2010
47,空中华西村,无锡, 中国大陆,亚洲,328米,1076英尺,72,2010
48,Q1大厦,黄金海岸, 澳大利亚,大洋洲,323米,1058英尺,78,2005
49,温州世贸中心大厦,温州, 中国大陆,亚洲,322米,1056英尺,68,2010
50,阿拉伯塔,杜拜, 阿联酋,亚洲,321米,1053英尺,60,1999
51,如心广场,香港, 香港,亚洲,320米,1049英尺,80,2006
52,克莱斯勒大厦,纽约市, 美国,北美洲,319米,1047英尺,77,1930
53,纽约时报大厦,纽约市, 美国,北美洲,319米,1046英尺,52,2007
54,HHHR大厦,杜拜, 阿联酋,亚洲,317米,1040英尺,72,2009
55,美国银行广场,亚特兰大, 美国,北美洲,312米,​​1023英尺,55,1992
56,沉阳茂业中心,沉阳, 中国大陆,亚洲,310.95米,1020英尺,75,2011
57,天空大厦,阿布扎比, 阿联酋,亚洲,310米,1018英尺,74,2009
58,海洋大厦,杜拜, 阿联酋,亚洲,310米,1017英尺,84,2009
59,马来西亚电讯大厦,吉隆坡, 马来西亚,亚洲,310米,1017英尺,55,2001
60,珠江大厦,广州, 中国大陆,亚洲,309.7米,1016英尺,71,2011
61,碎片大厦,伦敦, 英国,欧洲,309.6米,1016英尺,95,2012
62,朱美拉阿联酋酒店,杜拜, 阿联酋,亚洲,309米,1014英尺,56,2000
63,港岛东中心,香港, 香港,亚洲,308米,1011英尺,70,2008
64,美国电话电报中心,芝加哥, 美国,北美洲,307米,1007英尺,60,1989
65,杜拜市中心酒店,杜拜, 阿联酋,亚洲,306米,1004英尺,63,2008
66,埃迪哈德大厦,阿布扎比, 阿联酋,亚洲,305.3米,1002英尺,68,2010
67,摩根大通大厦,休士顿, 美国,北美洲,305米,1002英尺,75,1982
68,东北亚洲贸易大厦,仁川, 韩国,亚洲,305米,1001英尺,70,2010
69,彩虹中心第二期,曼谷, 泰国,亚洲,304米,997英尺,85,1997
